
Versions;Days;Cubes
;;"Cube #4";"Cube #5"
Actual;"1 Jan 21";03.08.2022;08.03.2022
Actual;"2 Jan 21";03.08.2022;08.03.2022
Actual;"3 Jan 21";03.08.2022;08.03.2022
Actual;"4 Jan 21";03.08.2022;08.03.2022
Actual;"5 Jan 21";03.08.2022;08.03.2022
Actual;"6 Jan 21";03.08.2022;08.03.2022
Forecast;"1 Jan 21";04.08.2022;08.04.2022
Forecast;"2 Jan 21";04.08.2022;08.04.2022
Forecast;"3 Jan 21";04.08.2022;08.04.2022
Forecast;"4 Jan 21";04.08.2022;08.04.2022
Forecast;"5 Jan 21";04.08.2022;08.04.2022
Forecast;"6 Jan 21";04.08.2022;08.04.2022
