
Versions;Days;Cubes
;;"Cube #3"
Actual;"1 Jan 21";29
Actual;"2 Jan 21";37
Actual;"3 Jan 21";17
Actual;"4 Jan 21";1
Actual;"5 Jan 21";38
Actual;"6 Jan 21";20
Actual;"7 Jan 21";8
Actual;"8 Jan 21";1
Actual;"9 Jan 21";8
Actual;"10 Jan 21";48
Actual;"11 Jan 21";41
Actual;"12 Jan 21";16
Actual;"13 Jan 21";42
Actual;"14 Jan 21";22
Actual;"15 Jan 21";3
Actual;"16 Jan 21";32
Actual;"17 Jan 21";10
Actual;"18 Jan 21";35
Actual;"19 Jan 21";18
Actual;"20 Jan 21";6
Actual;"21 Jan 21";41
Actual;"22 Jan 21";27
Actual;"23 Jan 21";37
Actual;"24 Jan 21";37
Actual;"25 Jan 21";26
Actual;"26 Jan 21";25
Actual;"27 Jan 21";21
Actual;"28 Jan 21";1
Actual;"29 Jan 21";27
Actual;"30 Jan 21";37
Actual;"31 Jan 21";28
Actual;"1 Feb 21";36
Actual;"2 Feb 21";36
Actual;"3 Feb 21";35
Actual;"4 Feb 21";19
Actual;"5 Feb 21";9
Actual;"6 Feb 21";15
Actual;"7 Feb 21";35
Actual;"8 Feb 21";33
Actual;"9 Feb 21";3
Actual;"10 Feb 21";30
Actual;"11 Feb 21";16
Actual;"12 Feb 21";12
Actual;"13 Feb 21";8
Actual;"14 Feb 21";36
Actual;"15 Feb 21";43
Actual;"16 Feb 21";40
Actual;"17 Feb 21";22
Actual;"18 Feb 21";1
Actual;"19 Feb 21";44
Actual;"20 Feb 21";23
Actual;"21 Feb 21";9
Actual;"22 Feb 21";18
Actual;"23 Feb 21";11
Actual;"24 Feb 21";41
Actual;"25 Feb 21";27
Actual;"26 Feb 21";32
Actual;"27 Feb 21";14
Actual;"28 Feb 21";9
Actual;"1 Mar 21";18
Actual;"2 Mar 21";6
Actual;"3 Mar 21";16
Actual;"4 Mar 21";5
Actual;"5 Mar 21";45
Actual;"6 Mar 21";31
Actual;"7 Mar 21";44
Actual;"8 Mar 21";19
Actual;"9 Mar 21";40
Actual;"10 Mar 21";40
Actual;"11 Mar 21";2
Actual;"12 Mar 21";34
Actual;"13 Mar 21";33
Actual;"14 Mar 21";13
Actual;"15 Mar 21";1
Actual;"16 Mar 21";11
Actual;"17 Mar 21";49
Actual;"18 Mar 21";45
Actual;"19 Mar 21";44
Actual;"20 Mar 21";9
Actual;"21 Mar 21";26
Actual;"22 Mar 21";9
Actual;"23 Mar 21";32
Actual;"24 Mar 21";25
Actual;"25 Mar 21";40
Actual;"26 Mar 21";0
Actual;"27 Mar 21";31
Actual;"28 Mar 21";15
Actual;"29 Mar 21";16
Actual;"30 Mar 21";41
Actual;"31 Mar 21";37
Actual;"1 Apr 21";0
Actual;"2 Apr 21";26
Actual;"3 Apr 21";11
Actual;"4 Apr 21";9
Actual;"5 Apr 21";45
Actual;"6 Apr 21";7
Actual;"7 Apr 21";35
Actual;"8 Apr 21";12
Actual;"9 Apr 21";21
Actual;"10 Apr 21";43
Actual;"11 Apr 21";47
Actual;"12 Apr 21";41
Actual;"13 Apr 21";49
Actual;"14 Apr 21";37
Actual;"15 Apr 21";42
Actual;"16 Apr 21";11
Actual;"17 Apr 21";3
Actual;"18 Apr 21";14
Actual;"19 Apr 21";19
Actual;"20 Apr 21";37
Actual;"21 Apr 21";27
Actual;"22 Apr 21";14
Actual;"23 Apr 21";47
Actual;"24 Apr 21";29
Actual;"25 Apr 21";17
Actual;"26 Apr 21";14
Actual;"27 Apr 21";16
Actual;"28 Apr 21";33
Actual;"29 Apr 21";47
Actual;"30 Apr 21";40
Actual;"1 May 21";15
Actual;"2 May 21";16
Actual;"3 May 21";3
Actual;"4 May 21";9
Actual;"5 May 21";26
Actual;"6 May 21";27
Actual;"7 May 21";31
Actual;"8 May 21";50
Actual;"9 May 21";32
Actual;"10 May 21";9
Actual;"11 May 21";8
Actual;"12 May 21";47
Actual;"13 May 21";20
Actual;"14 May 21";9
Actual;"15 May 21";40
Actual;"16 May 21";42
Actual;"17 May 21";29
Actual;"18 May 21";4
Actual;"19 May 21";5
Actual;"20 May 21";37
Actual;"21 May 21";33
Actual;"22 May 21";25
Actual;"23 May 21";8
Actual;"24 May 21";13
Actual;"25 May 21";23
Actual;"26 May 21";48
Actual;"27 May 21";8
Actual;"28 May 21";26
Actual;"29 May 21";30
Actual;"30 May 21";37
Actual;"31 May 21";17
Actual;"1 Jun 21";49
Actual;"2 Jun 21";5
Actual;"3 Jun 21";5
Actual;"4 Jun 21";40
Actual;"5 Jun 21";19
Actual;"6 Jun 21";7
Actual;"7 Jun 21";4
Actual;"8 Jun 21";41
Actual;"9 Jun 21";14
Actual;"10 Jun 21";2
Actual;"11 Jun 21";29
Actual;"12 Jun 21";27
Actual;"13 Jun 21";46
Actual;"14 Jun 21";3
Actual;"15 Jun 21";1
Actual;"16 Jun 21";35
Actual;"17 Jun 21";4
Actual;"18 Jun 21";47
Actual;"19 Jun 21";30
Actual;"20 Jun 21";29
Actual;"21 Jun 21";13
Actual;"22 Jun 21";13
Actual;"23 Jun 21";43
Actual;"24 Jun 21";48
Actual;"25 Jun 21";30
Actual;"26 Jun 21";22
Actual;"27 Jun 21";20
Actual;"28 Jun 21";33
Actual;"29 Jun 21";34
Actual;"30 Jun 21";24
Actual;"1 Jul 21";39
Actual;"2 Jul 21";11
Actual;"3 Jul 21";32
Actual;"4 Jul 21";24
Actual;"5 Jul 21";1
Actual;"6 Jul 21";40
Actual;"7 Jul 21";21
Actual;"8 Jul 21";46
Actual;"9 Jul 21";47
Actual;"10 Jul 21";12
Actual;"11 Jul 21";40
Actual;"12 Jul 21";29
Actual;"13 Jul 21";41
Actual;"14 Jul 21";26
Actual;"15 Jul 21";33
Actual;"16 Jul 21";19
Actual;"17 Jul 21";9
Actual;"18 Jul 21";28
Actual;"19 Jul 21";35
Actual;"20 Jul 21";13
Actual;"21 Jul 21";5
Actual;"22 Jul 21";2
Actual;"23 Jul 21";2
Actual;"24 Jul 21";2
Actual;"25 Jul 21";40
Actual;"26 Jul 21";14
Actual;"27 Jul 21";11
Actual;"28 Jul 21";25
Actual;"29 Jul 21";15
Actual;"30 Jul 21";5
Actual;"31 Jul 21";7
Actual;"1 Aug 21";41
Actual;"2 Aug 21";35
Actual;"3 Aug 21";11
Actual;"4 Aug 21";8
Actual;"5 Aug 21";35
Actual;"6 Aug 21";4
Actual;"7 Aug 21";6
Actual;"8 Aug 21";11
Actual;"9 Aug 21";43
Actual;"10 Aug 21";18
Actual;"11 Aug 21";10
Actual;"12 Aug 21";35
Actual;"13 Aug 21";0
Actual;"14 Aug 21";33
Actual;"15 Aug 21";2
Actual;"16 Aug 21";11
Actual;"17 Aug 21";11
Actual;"18 Aug 21";36
Actual;"19 Aug 21";3
Actual;"20 Aug 21";2
Actual;"21 Aug 21";47
Actual;"22 Aug 21";11
Actual;"23 Aug 21";45
Actual;"24 Aug 21";36
Actual;"25 Aug 21";3
Actual;"26 Aug 21";32
Actual;"27 Aug 21";47
Actual;"28 Aug 21";45
Actual;"29 Aug 21";25
Actual;"30 Aug 21";25
Actual;"31 Aug 21";19
Actual;"1 Sep 21";32
Actual;"2 Sep 21";47
Actual;"3 Sep 21";0
Actual;"4 Sep 21";25
Actual;"5 Sep 21";20
Actual;"6 Sep 21";27
Actual;"7 Sep 21";49
Actual;"8 Sep 21";36
Actual;"9 Sep 21";8
Actual;"10 Sep 21";33
Actual;"11 Sep 21";3
Actual;"12 Sep 21";9
Actual;"13 Sep 21";33
Actual;"14 Sep 21";31
Actual;"15 Sep 21";24
Actual;"16 Sep 21";39
Actual;"17 Sep 21";13
Actual;"18 Sep 21";4
Actual;"19 Sep 21";28
Actual;"20 Sep 21";15
Actual;"21 Sep 21";7
Actual;"22 Sep 21";36
Actual;"23 Sep 21";38
Actual;"24 Sep 21";3
Actual;"25 Sep 21";35
Actual;"26 Sep 21";50
Actual;"27 Sep 21";29
Actual;"28 Sep 21";1
Actual;"29 Sep 21";23
Actual;"30 Sep 21";21
Actual;"1 Oct 21";10
Actual;"2 Oct 21";42
Actual;"3 Oct 21";9
Actual;"4 Oct 21";41
Actual;"5 Oct 21";23
Actual;"6 Oct 21";20
Actual;"7 Oct 21";16
Actual;"8 Oct 21";46
Actual;"9 Oct 21";26
Actual;"10 Oct 21";7
Actual;"11 Oct 21";48
Actual;"12 Oct 21";25
Actual;"13 Oct 21";40
Actual;"14 Oct 21";48
Actual;"15 Oct 21";34
Actual;"16 Oct 21";5
Actual;"17 Oct 21";3
Actual;"18 Oct 21";26
Actual;"19 Oct 21";19
Actual;"20 Oct 21";33
Actual;"21 Oct 21";0
Actual;"22 Oct 21";50
Actual;"23 Oct 21";1
Actual;"24 Oct 21";2
Actual;"25 Oct 21";7
Actual;"26 Oct 21";47
Actual;"27 Oct 21";14
Actual;"28 Oct 21";18
Actual;"29 Oct 21";48
Actual;"30 Oct 21";33
Actual;"31 Oct 21";29
Actual;"1 Nov 21";26
Actual;"2 Nov 21";18
Actual;"3 Nov 21";27
Actual;"4 Nov 21";2
Actual;"5 Nov 21";5
Actual;"6 Nov 21";30
Actual;"7 Nov 21";10
Actual;"8 Nov 21";29
Actual;"9 Nov 21";49
Actual;"10 Nov 21";41
Actual;"11 Nov 21";46
Actual;"12 Nov 21";2
Actual;"13 Nov 21";50
Actual;"14 Nov 21";6
Actual;"15 Nov 21";24
Actual;"16 Nov 21";10
Actual;"17 Nov 21";21
Actual;"18 Nov 21";5
Actual;"19 Nov 21";21
Actual;"20 Nov 21";46
Actual;"21 Nov 21";1
Actual;"22 Nov 21";31
Actual;"23 Nov 21";20
Actual;"24 Nov 21";23
Actual;"25 Nov 21";19
Actual;"26 Nov 21";50
Actual;"27 Nov 21";12
Actual;"28 Nov 21";35
Actual;"29 Nov 21";13
Actual;"30 Nov 21";1
Actual;"1 Dec 21";24
Actual;"2 Dec 21";35
Actual;"3 Dec 21";14
Actual;"4 Dec 21";28
Actual;"5 Dec 21";6
Actual;"6 Dec 21";34
Actual;"7 Dec 21";36
Actual;"8 Dec 21";13
Actual;"9 Dec 21";50
Actual;"10 Dec 21";10
Actual;"11 Dec 21";7
Actual;"12 Dec 21";3
Actual;"13 Dec 21";31
Actual;"14 Dec 21";17
Actual;"15 Dec 21";18
Actual;"16 Dec 21";7
Actual;"17 Dec 21";26
Actual;"18 Dec 21";44
Actual;"19 Dec 21";48
Actual;"20 Dec 21";43
Actual;"21 Dec 21";46
Actual;"22 Dec 21";48
Actual;"23 Dec 21";45
Actual;"24 Dec 21";18
Actual;"25 Dec 21";0
Actual;"26 Dec 21";16
Actual;"27 Dec 21";21
Actual;"28 Dec 21";14
Actual;"29 Dec 21";42
Actual;"30 Dec 21";47
Actual;"31 Dec 21";5
Forecast;"1 Jan 21";7
Forecast;"2 Jan 21";26
Forecast;"3 Jan 21";29
Forecast;"4 Jan 21";46
Forecast;"5 Jan 21";25
Forecast;"6 Jan 21";23
Forecast;"7 Jan 21";35
Forecast;"8 Jan 21";35
Forecast;"9 Jan 21";12
Forecast;"10 Jan 21";37
Forecast;"11 Jan 21";14
Forecast;"12 Jan 21";33
Forecast;"13 Jan 21";21
Forecast;"14 Jan 21";22
Forecast;"15 Jan 21";19
Forecast;"16 Jan 21";26
Forecast;"17 Jan 21";37
Forecast;"18 Jan 21";26
Forecast;"19 Jan 21";25
Forecast;"20 Jan 21";21
Forecast;"21 Jan 21";1
Forecast;"22 Jan 21";5
Forecast;"23 Jan 21";10
Forecast;"24 Jan 21";35
Forecast;"25 Jan 21";18
Forecast;"26 Jan 21";6
Forecast;"27 Jan 21";41
Forecast;"28 Jan 21";41
Forecast;"29 Jan 21";5
Forecast;"30 Jan 21";32
Forecast;"31 Jan 21";26
Forecast;"1 Feb 21";26
Forecast;"2 Feb 21";49
Forecast;"3 Feb 21";48
Forecast;"4 Feb 21";32
Forecast;"5 Feb 21";24
Forecast;"6 Feb 21";35
Forecast;"7 Feb 21";19
Forecast;"8 Feb 21";40
Forecast;"9 Feb 21";50
Forecast;"10 Feb 21";49
Forecast;"11 Feb 21";44
Forecast;"12 Feb 21";24
Forecast;"13 Feb 21";44
Forecast;"14 Feb 21";2
Forecast;"15 Feb 21";25
Forecast;"16 Feb 21";9
Forecast;"17 Feb 21";11
Forecast;"18 Feb 21";26
Forecast;"19 Feb 21";17
Forecast;"20 Feb 21";34
Forecast;"21 Feb 21";30
Forecast;"22 Feb 21";0
Forecast;"23 Feb 21";26
Forecast;"24 Feb 21";11
Forecast;"25 Feb 21";9
Forecast;"26 Feb 21";25
Forecast;"27 Feb 21";17
Forecast;"28 Feb 21";4
Forecast;"1 Mar 21";12
Forecast;"2 Mar 21";38
Forecast;"3 Mar 21";0
Forecast;"4 Mar 21";29
Forecast;"5 Mar 21";10
Forecast;"6 Mar 21";12
Forecast;"7 Mar 21";4
Forecast;"8 Mar 21";30
Forecast;"9 Mar 21";3
Forecast;"10 Mar 21";9
Forecast;"11 Mar 21";12
Forecast;"12 Mar 21";9
Forecast;"13 Mar 21";17
Forecast;"14 Mar 21";16
Forecast;"15 Mar 21";49
Forecast;"16 Mar 21";33
Forecast;"17 Mar 21";29
Forecast;"18 Mar 21";17
Forecast;"19 Mar 21";0
Forecast;"20 Mar 21";15
Forecast;"21 Mar 21";11
Forecast;"22 Mar 21";9
Forecast;"23 Mar 21";45
Forecast;"24 Mar 21";0
Forecast;"25 Mar 21";30
Forecast;"26 Mar 21";27
Forecast;"27 Mar 21";1
Forecast;"28 Mar 21";29
Forecast;"29 Mar 21";33
Forecast;"30 Mar 21";37
Forecast;"31 Mar 21";35
Forecast;"1 Apr 21";11
Forecast;"2 Apr 21";41
Forecast;"3 Apr 21";27
Forecast;"4 Apr 21";32
Forecast;"5 Apr 21";25
Forecast;"6 Apr 21";17
Forecast;"7 Apr 21";2
Forecast;"8 Apr 21";41
Forecast;"9 Apr 21";2
Forecast;"10 Apr 21";7
Forecast;"11 Apr 21";43
